HomeTeam,AwayTeam,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
Watford,Tottenham,NH,1.526315789,1.684210526,D,W,W,W,W,L,0.263157895,0.894736842,0.263157895,10
West Brom,Newcastle,H,1.052631579,0.894736842,L,L,D,L,D,W,-0.368421053,-0.736842105,-0.210526316,-4
West Ham,Southampton,H,1.368421053,1.263157895,D,D,D,W,L,L,0.210526316,0.210526316,0.052631579,1
Leicester,Man City,NH,2,1.842105263,L,W,W,W,L,W,0.631578947,0.894736842,0.052631579,-3
Sunderland,Liverpool,NH,0.631578947,1.421052632,L,L,L,W,L,D,-0.947368421,-0.052631579,-0.210526316,9
Arsenal,Newcastle,H,1.95,0.85,W,L,W,L,L,D,0.75,-0.75,0.25,-16
Leicester,Bournemouth,NH,1.95,1,D,L,W,L,D,W,0.6,-0.6,0,-15
Man United,Swansea,H,1.5,0.95,D,L,L,D,W,D,0.3,-0.4,-0.15,-7
Norwich,Southampton,H,1,1.2,W,L,W,L,W,L,-0.5,0.15,0.15,13
Sunderland,Aston Villa,H,0.6,0.4,L,L,L,L,D,D,-0.95,-0.95,-0.15,-3
Watford,Man City,NH,1.45,1.8,L,D,W,D,W,L,0.2,0.85,0.15,9
West Brom,Stoke,H,1.15,1.45,W,L,L,W,W,L,-0.3,0.05,-0.25,5
West Ham,Liverpool,H,1.45,1.5,W,D,D,W,W,L,0.25,0,0,-1
Crystal Palace,Chelsea,NH,1.55,1,D,D,W,D,D,W,0.35,-0.3,0.2,5
Everton,Tottenham,NH,1.3,1.75,L,W,L,W,W,W,0.35,0.9,-0.25,8
Aston Villa,Crystal Palace,H,0.380952381,1.476190476,L,L,D,L,D,D,-1,0.19047619,-0.285714286,5
Bournemouth,West Ham,NH,1,1.523809524,D,L,D,W,W,D,-0.571428571,0.333333333,-0.047619048,9
Newcastle,Man United,NH,0.80952381,1.571428571,L,L,L,W,D,L,-0.761904762,0.333333333,0,13
Chelsea,West Brom,NH,1.095238095,1.238095238,W,D,D,W,W,L,-0.142857143,-0.238095238,0.047619048,-4
Liverpool,Arsenal,NH,1.428571429,2,L,W,W,W,W,L,-0.095238095,0.761904762,-0.238095238,6
Man City,Everton,NH,1.857142857,1.285714286,W,D,W,D,L,W,0.857142857,0.333333333,0.238095238,-7
Southampton,Watford,H,1.142857143,1.380952381,L,L,W,L,L,D,0.095238095,0.142857143,-0.19047619,-7
Stoke,Norwich,H,1.380952381,1.095238095,L,W,W,W,W,L,0,-0.428571429,-0.142857143,-10
Swansea,Sunderland,NH,0.904761905,0.714285714,L,D,W,W,L,L,-0.428571429,-0.80952381,0.095238095,-5
Tottenham,Leicester,NH,1.714285714,1.904761905,D,W,W,D,D,L,0.857142857,0.571428571,0.095238095,2
Aston Villa,Leicester,NH,0.5,1.954545455,W,L,L,W,D,D,-0.909090909,0.590909091,-0.136363636,19
Bournemouth,Norwich,H,0.954545455,1.045454545,L,D,L,L,W,W,-0.636363636,-0.5,-0.181818182,-3
Chelsea,Everton,NH,1.090909091,1.272727273,D,W,D,D,D,L,-0.136363636,0.318181818,0.181818182,-1
Man City,Crystal Palace,H,1.818181818,1.409090909,D,W,D,L,L,D,0.818181818,0.136363636,0.136363636,-11
Newcastle,West Ham,H,0.818181818,1.590909091,D,L,L,W,W,W,-0.727272727,0.409090909,-0.409090909,11
Southampton,West Brom,H,1.227272727,1.227272727,W,L,L,D,W,W,0.181818182,-0.227272727,-0.045454545,-8
Tottenham,Sunderland,H,1.636363636,0.818181818,L,D,W,W,W,L,0.772727273,-0.681818182,0.181818182,-14
Liverpool,Man United,NH,1.409090909,1.545454545,D,L,W,D,W,D,-0.090909091,0.318181818,0.090909091,3
Stoke,Arsenal,NH,1.454545455,1.954545455,W,L,W,D,W,W,0.090909091,0.727272727,-0.045454545,7
Swansea,Watford,H,0.863636364,1.318181818,L,L,D,L,L,L,-0.5,0.045454545,0.045454545,-1
Crystal Palace,Tottenham,NH,1.347826087,1.695652174,L,L,L,W,L,D,-0.043478261,0.869565217,-0.347826087,12
Leicester,Stoke,H,1.913043478,1.434782609,D,W,D,D,W,L,0.565217391,0.086956522,-0.173913043,-8
Man United,Southampton,NH,1.608695652,1.304347826,W,D,W,W,W,L,0.347826087,0.304347826,-0.043478261,-1
Norwich,Liverpool,NH,1,1.347826087,L,L,W,L,D,L,-0.608695652,-0.130434783,-0.043478261,11
Sunderland,Bournemouth,NH,0.782608696,1.043478261,L,W,W,W,L,D,-0.782608696,-0.47826087,0.043478261,1
Watford,Newcastle,H,1.260869565,0.913043478,L,L,L,W,D,L,0,-0.652173913,-0.130434783,-5
West Brom,Aston Villa,NH,1.173913043,0.52173913,L,D,W,D,W,L,-0.347826087,-0.869565217,0.086956522,-6
West Ham,Man City,NH,1.52173913,1.869565217,L,W,W,W,D,W,0.347826087,0.956521739,-0.043478261,3
Arsenal,Chelsea,NH,1.913043478,1.086956522,D,D,W,D,D,W,0.695652174,-0.130434783,0.043478261,-8
Everton,Swansea,NH,1.260869565,0.956521739,D,D,D,W,L,L,0.304347826,-0.434782609,-0.043478261,-1
Arsenal,Southampton,NH,1.833333333,1.375,L,D,D,W,W,W,0.625,0.333333333,-0.041666667,-4
Crystal Palace,Bournemouth,NH,1.291666667,1.041666667,L,L,L,D,W,L,-0.125,-0.458333333,-0.166666667,-1
Leicester,Liverpool,H,1.958333333,1.416666667,W,D,W,W,L,D,0.666666667,-0.083333333,0.083333333,-7
Man United,Stoke,H,1.541666667,1.375,L,W,D,L,D,W,0.291666667,-0.041666667,0.041666667,-4
Norwich,Tottenham,NH,0.958333333,1.75,L,L,L,W,W,L,-0.625,0.916666667,-0.166666667,16
Sunderland,Man City,NH,0.791666667,1.833333333,D,L,W,D,W,D,-0.75,0.916666667,-0.083333333,13
West Brom,Swansea,NH,1.166666667,1.041666667,D,L,D,W,W,L,-0.333333333,-0.375,0.041666667,2
West Ham,Aston Villa,H,1.5,0.541666667,D,L,W,D,D,W,0.333333333,-0.833333333,0.208333333,-13
Everton,Newcastle,H,1.208333333,0.875,L,D,D,L,W,D,0.25,-0.666666667,-0.041666667,-7
Watford,Chelsea,NH,1.333333333,1.166666667,W,L,L,W,D,D,0.041666667,-0.083333333,-0.25,3
Aston Villa,Norwich,H,0.52,0.92,L,D,D,L,L,L,-0.88,-0.72,0.08,1
Liverpool,Sunderland,NH,1.36,0.76,L,W,L,L,D,L,-0.16,-0.76,-0.12,-9
Man City,Leicester,NH,1.88,2,W,D,W,W,W,D,0.92,0.72,0,3
Newcastle,West Brom,H,0.84,1.16,L,L,W,D,D,L,-0.76,-0.32,-0.08,4
Southampton,West Ham,H,1.36,1.56,D,W,W,W,D,L,0.32,0.4,0,-1
Stoke,Everton,NH,1.32,1.28,L,L,D,W,L,D,-0.16,0.36,-0.08,-2
Swansea,Crystal Palace,NH,1.04,1.24,D,W,W,L,L,L,-0.36,-0.16,0.28,-3
Tottenham,Watford,H,1.8,1.32,W,W,W,D,W,L,1,0.04,0.24,-10
Bournemouth,Arsenal,NH,1.12,1.8,W,D,W,D,L,D,-0.4,0.6,0.08,14
Chelsea,Man United,NH,1.16,1.6,D,W,D,W,L,W,-0.08,0.4,-0.04,5
Bournemouth,Stoke,NH,1.076923077,1.269230769,L,W,D,L,L,L,-0.461538462,-0.269230769,0.115384615,7
Chelsea,Newcastle,H,1.153846154,0.923076923,D,D,W,W,L,L,-0.076923077,-0.692307692,0,-8
Crystal Palace,Watford,NH,1.230769231,1.269230769,D,L,L,L,D,W,-0.153846154,0,-0.115384615,2
Everton,West Brom,NH,1.346153846,1.115384615,W,W,L,L,D,D,0.461538462,-0.346153846,0.192307692,-3
Norwich,West Ham,NH,0.884615385,1.5,L,L,L,L,W,D,-0.769230769,0.346153846,-0.269230769,12
Sunderland,Man United,H,0.769230769,1.576923077,D,L,D,D,W,L,-0.730769231,0.384615385,-0.115384615,12
Swansea,Southampton,NH,1.038461538,1.423076923,D,D,W,W,D,W,-0.346153846,0.346153846,-0.192307692,6
Arsenal,Leicester,H,1.846153846,2.038461538,W,D,L,W,W,W,0.653846154,0.769230769,-0.269230769,1
Aston Villa,Liverpool,NH,0.615384615,1.346153846,W,L,D,D,L,W,-0.769230769,-0.153846154,0.115384615,12
Man City,Tottenham,NH,1.807692308,1.846153846,L,W,D,W,W,W,0.807692308,1,-0.153846154,1
Leicester,Norwich,H,1.962962963,0.888888889,L,W,W,D,L,L,0.703703704,-0.740740741,0.333333333,-18
Southampton,Chelsea,NH,1.481481481,1.222222222,W,W,D,W,D,D,0.37037037,0.074074074,0.148148148,-4
Stoke,Aston Villa,H,1.333333333,0.592592593,W,L,L,L,W,L,-0.185185185,-0.962962963,-0.037037037,-11
Watford,Bournemouth,NH,1.333333333,1.037037037,W,L,D,L,L,W,0.037037037,-0.518518519,0,-3
West Brom,Crystal Palace,H,1.185185185,1.185185185,W,L,D,L,D,L,-0.296296296,-0.185185185,0.148148148,-1
West Ham,Sunderland,H,1.481481481,0.851851852,D,L,W,W,D,L,0.333333333,-0.666666667,0,-10
Tottenham,Swansea,H,1.888888889,1,W,W,W,L,D,D,1,-0.37037037,0.259259259,-9
Man United,Arsenal,H,1.518518519,1.888888889,L,D,W,W,W,D,0.333333333,0.666666667,-0.037037037,3
Aston Villa,Everton,NH,0.592592593,1.296296296,L,W,L,L,W,W,-0.962962963,0.407407407,-0.074074074,9
Bournemouth,Southampton,H,1.037037037,1.481481481,L,L,W,W,W,D,-0.518518519,0.37037037,-0.222222222,10
Leicester,West Brom,NH,2,1.25,W,L,W,W,W,L,0.714285714,-0.25,0.142857143,-13
Norwich,Chelsea,NH,0.857142857,1.285714286,L,D,L,W,W,D,-0.75,0.107142857,-0.357142857,9
Sunderland,Crystal Palace,NH,0.821428571,1.142857143,L,W,D,L,L,D,-0.678571429,-0.214285714,0.142857143,2
Arsenal,Swansea,NH,1.821428571,0.964285714,L,W,W,L,L,D,0.607142857,-0.392857143,0.071428571,-10
Liverpool,Man City,H,1.464285714,1.678571429,W,W,D,L,L,L,0.178571429,0.607142857,0.214285714,4
Man United,Watford,H,1.571428571,1.321428571,W,L,D,D,W,L,0.357142857,0.035714286,-0.035714286,-8
Stoke,Newcastle,H,1.392857143,0.857142857,W,W,L,L,L,W,-0.142857143,-0.821428571,0.107142857,-9
